Source Country,Field Of Influence,Name,Influence,log(influence),Description,Unknown
China,Sports,Jeremy Lin,568801,5.372133751,Jeremy Shu-How Lin  is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association ,132
China,Other,Charles K. Kao,325584,5.025484688,"The Honourable Sir Charles Kuen Kao, GBM, KBE, FRS, FREng  is a Chinese-born Hong Kong, American and British electrical engineer and physicist who pioneered in the development and use of fiber optics in telecommunications",221
China,Sports,Brian Ching,307689,4.990360028,Brian Ching  is the managing director of the Houston Dash,57
China,Sports,Michelle Kwan,266097,4.900124407,Michelle Wingshan Kwan  is an American figure skater,52
China,Arts/Entertainment,Maya Lin,258551,4.882249883,Maya Ying Lin  is an American designer and artist who is known for her work in sculpture and landscape art,106
China,Arts/Entertainment,Bruce Lee,256813,4.87805912,"Bruce Lee  was a Hong Kong American martial artist, Hong Kong action film actor, martial arts instructor, philosopher, filmmaker, and the founder of Jeet Kune Do",161
China,Arts/Entertainment,I. M. Pei,246756,4.853237908,"Ieoh Ming Pei , commonly known as I",35
China,Arts/Entertainment,Ang Lee,239827,4.835540944,"Ang Lee OBS  is a Taiwanese-born American film director, screenwriter and producer",82
China,Sports,Michael Chang,233276,4.818332745,Michael Te-Pei Chang  is an American tennis player,50
China,Government,Leland Yee,220746,4.784029103,"Leland Yin Yee  is a former Democratic California State Senator for District 8, which when he was elected, covered parts of San Francisco and the Peninsula",155
China,Arts/Entertainment,Nancy Kwan,216011,4.770556457,"Nancy ""Ka Shen"" Kwan  is a Hong Kong-born, biracial American actress, who played a pivotal role in the acceptance of actors of Asian ancestry in major Hollywood film roles",171
China,Sports,Vania King,215148,4.768069148,Vania King   is an American tennis player,41
China,Government,Steven Chu,196146,4.710616243,Steven Chu  is an American physicist who served as the 12th United States Secretary of Energy from 2009 to 2013,111
China,Sports,Nathan Adrian,193968,4.703678366,Nathan Ghar-jun Adrian  is an American competition swimmer and three-time Olympic gold medalist who currently holds the American record in the 50- and 100-yard freestyle events,176
China,Arts/Entertainment,Wilber Pan,188187,4.684878605,"Wilber Pan, also known as Will Pan , was born on 6 August 1980",62
China,Arts/Entertainment,Lucy Liu,188061,4.684462453,"Lucy Alexis Liu /_lu_/  is an American actress, model, artist, and occasional producer and director",99
China,Government,Elaine Chao,182851,4.667006194,Elaine Lan Chao  is a Chinese-American politician who served as the 24th U,74
China,Arts/Entertainment,Anna May Wong,174120,4.636606204,"Anna May Wong  was the first Chinese American movie star, and the first Asian American actress to gain international recognition",128
China,Arts/Entertainment,Joan Chen,173620,4.634819423,"Joan Chen  is a Chinese-American actress, film director, screenwriter, and film producer",88
China,Other,Chen Ning Yang,171773,4.628174143,"Chen-Ning Franklin Yang , also known as Yang Zhenning, is a Chinese-born American physicist who works on statistical mechanics and particle physics",147
China,Other,Shiing-Shen Chern,171600,4.627548054,Shiing-Shen Chern  was a Chinese-born American mathematician,60
China,Arts/Entertainment,Leehom Wang,169116,4.618488173,"Wang Leehom , sometimes credited as Leehom Wang, is a Chinese-American singer-songwriter, record producer, actor and film director",130
China,Other,Yuan T. Lee,166141,4.607460692,Yuan Tseh Lee  is a Taiwanese chemist,37
China,Government,Judy Chu,163535,4.597637517,,0
China,Arts/Entertainment,Malan Breton,162218,4.592613449,Malan Breton  is a Taiwanese-born fashion designer based in New York City,73
China,Other,Roger Y. Tsien,157814,4.575511836,Roger Yonchien Tsien  is an American biochemist,47
China,Arts/Entertainment,Kelis,152716,4.555108975,"Kelis Rogers Mora  , better known mononymously as Kelis, is an American singer-songwriter and certified chef",108
China,Government,Gary Locke,146524,4.529391457,Gary Faye Locke  is an American politician,42
China,Arts/Entertainment,Charles Mingus,135424,4.480443535,,0
China,Government,Grace Meng,132462,4.466702847,"Grace Meng  is an American lawyer and a Democratic member of the United States House of Representatives, representing New York's 6th congressional district in the New York City borough of Queens, which includes neighborhoods like Bayside, Flushing, Forest Hills, Rego Park, Fresh Meadows, Glendale, Kew Gardens and Maspeth",322
China,Sports,Johnny Chan,131891,4.464018687,Johnny Chan  is a Chinese-born American professional poker player,65
China,Arts/Entertainment,Olivia Munn,131077,4.460172073,"Lisa Olivia Munn  is an American actress, model, television personality and author",82
China,Arts/Entertainment,Jennifer Tilly,130522,4.45753566,Jennifer Tilly  is an American actress and poker player,55
China,Arts/Entertainment,Kelly Hu,129305,4.451715094,"Kelly Ann Hu  is an American actress, voice artist and former fashion model",75
China,Arts/Entertainment,Jason Tom,127600,4.443467753,"Jason Tom  is an Asian American musician, dancer, composer, poet, teacher, and motivational speaker of Hawaiian-Chinese descent known for beatboxing in music, dance, poetry slam, and the performing arts",202
China,Government,Tony Hwang,126516,4.438166779,Tony Hwang  is a residential real estate agent for Coldwell Banker and serves as the State Representative for the 134th District  in the Connecticut General Assembly,165
China,Arts/Entertainment,Sam Tsui,123818,4.42477326,"Samuel ""Sam"" Tsui  is an American musician and internet celebrity who gained moderate fame on YouTube",101
China,Arts/Entertainment,Justin Lin,122795,4.419618387,Justin Lin  is a Taiwanese-born American film director whose films have grossed $2 billion worldwide,100
China,Sports,Norm Chow,119165,4.400973859,"Norman Yew Heen ""Norm"" Chow  is an American football coach and former player",76
China,Business/Technology,Andrea Jung,117394,4.391670432,"Andrea Jung   is a Canadian-American executive, non-profit leader, and prominent women's-issues supporter",105
China,Arts/Entertainment,Kevin Wu,116965,4.389395691,Kevin Wu   is an American comedian and was a YouTube celebrity who was best known by his YouTube username of KevJumba,117
China,Other,Paul C. W. Chu,116948,4.389305378,"Paul Chu  is a Chinese-born American physicist specializing in superconductivity, magnetism, and dielectrics",108
China,Arts/Entertainment,Daniel Wu,116303,4.385869062,"Daniel Yin-Cho Wu   is a Hong Kong American actor, director and producer",72
China,Government,Wenjian Liu,116159,4.385099283,"On December 20, 2014, Ismaaiyl Abdullah Brinsley, 28, killed two New York City Police Department  officers in the line of duty in the Bedford",141
China,Literature,Tao Lin,112391,4.364610093,"Tao Lin  is an American novelist, poet, essayist, short-story writer, and artist",80
China,Government,Daniel Akaka,112312,4.364173201,Daniel Kahikina Akaka____  is a Native Hawaiian-Chinese American politician who was a United States Senator from Hawaii from 1990 to 2013,137
China,Government,Goodwin Liu,111020,4.35698414,"Goodwin Hon Liu  is an American lawyer, educator and an Associate Justice of the Supreme Court of California",108
China,Other,T. Y. Lin,110969,4.356698647,Tung-Yen Lin  was a structural engineer who was the pioneer of standardizing the use of prestressed concrete,108
China,Sports,Christina Gao,110162,4.352163602,Christina Gao  is an American figure skater,43
China,Other,Alfred Y. Cho,108236,4.341204508,Alfred Yi Cho  is the Adjunct Vice President of Semiconductor Research at Alcatel-Lucent's Bell Labs,100
China,Arts/Entertainment,Shen Wei,106723,4.332457768,"Shen Wei  is a Chinese-born American choreographer, visual artist and director who resides in New York City",107
China,Arts/Entertainment,Ted Fu,106525,4.331303953,"Wong Fu Productions[Note 1] is an American filmmaking group composed of Wesley Chan , Ted Fu , and Philip Wang ",111
China,Sports,Jerry Hsu,106317,4.330089553,Jerry Hsu  is an American professional skateboarder and photographer,68
China,Government,Charles Djou,105974,4.328081761,Charles Kong Djou  is an American politician who served as U,60
China,Literature,David Henry Hwang,105012,4.322415713,"David Henry Hwang  is an American playwright, librettist, and screenwriter, as well as a theater professor",106
China,Sports,Tony Gunawan,104906,4.321788216,"Tony Gunawan   is a Chinese descended, Indonesian born badminton player and coach who excelled internationally for Indonesia and later for the United States",156
China,Government,Denny Chin,104231,4.317777424,Denny Chin  is a judge on the United States Court of Appeals for the Second Circuit,83
China,Arts/Entertainment,Haing S. Ngor,104168,4.317401759,"Haing Somnang Ngor  was a Cambodian American physician, actor, and author who is best known for winning the 1985 Academy Award for Best Supporting Actor for his debut performance in the movie The Killing Fields, in which he portrayed Cambodian journalist and refugee Dith Pran",276
China,Business/Technology,Charles Wang,104052,4.316709463,"Charles B  Wang  is a businessman and philanthropist who was a co-founder and former CEO of Computer Associates International, Inc",130
China,Government,Chris Lu,102699,4.308577187,,0
China,Government,Ed Jew,102141,4.305192049,"Edmund ""Ed"" Jew  is an incarcerated former Chinese American politician based in San Francisco",93
China,Arts/Entertainment,James Wong Howe,101677,4.302363056,,0
China,Other,Chien,101024,4.298359789,"The jian  is a double-edged straight sword used during the last 2,500 years in China",84
China,Other,Leroy Chiao,100155,4.292991998,"Leroy Chiao  is an American engineer, former NASA astronaut, entrepreneur, motivational speaker and engineering consultant",122
China,Government,Tina Tchen,99898,4.291395589,,0
China,Other,Samuel C. C. Ting,99573,4.289370894,"Samuel Chao Chung Ting   is an American physicist who received the Nobel Prize in 1976, with Burton Richter, for discovering the subatomic J/_ particle",151
China,Other,Tim Wu,99195,4.287007687,Tim Wu is an American academic who ran unsuccessfully in the 2014 Democratic primary for lieutenant governor of the state of New York,133
China,Arts/Entertainment,Fala Chen,96094,4.267273636,Fala Chen  is a Chinese-born American actress and singer,56
China,Other,Vincent Chin,95338,4.262366079,"Vincent Jen Chin  was a Chinese American man who was severely beaten in the Detroit suburb of Highland Park, Michigan in June of 1982",133
