Source Country,Name,Field Of Influence,Generation,Influence,Description
Taiwan,Yuan Tseh Lee,Academia/Science,First Generation,166628,Yuan Tseh Lee  is a Taiwanese chemist
Taiwan,Tora Harris,Sports,Second Generation or Higher,121291,Tora Lian-Juin Harris  is an American high jumper
Taiwan,Samuel Ting,Academia/Science,Second Generation or Higher,99906,"Samuel Chao Chung Ting   is an American physicist who received the Nobel Prize in 1976, with Burton Richter, for discovering the subatomic J/_ particle"
Taiwan,Arthur Chu,Other,Second Generation or Higher,81153,Arthur Chu  is an American game show contestant and columnist
Taiwan,Wen Ho Lee,Other,First Generation,68817,Dr  Wen Ho Lee  is a Taiwanese American scientist who worked for the University of California at the Los Alamos National Laboratory
Taiwan,Ariel Hsing,Sports,First Generation,59273,Ariel Yenhua Hsing  is an American table tennis player who competed in the 2012 Olympics
Taiwan,Jon M. Chu,Arts/Entertainment,Second Generation or Higher,59085,"Jonathan Murray ""Jon"" Chu  is an American film director and screenwriter best known for directing the movies Step Up 2: The Streets, Step Up 3D, Justin Bieber: Never Say Never and G"
Taiwan,Fan Chung,Academia/Science,First Generation,57823,"Fan-Rong King Chung Graham , known professionally as Fan Chung, is a mathematician who works mainly in the areas of spectral graph theory, extremal graph theory and random graphs, in particular in generalizing the Erd_s"
Taiwan,Ching He Huang,Arts/Entertainment,First Generation,56236,Ching-He Huang  is a British Chinese food writer and TV chef who has appeared in a variety of television cooking shows
Taiwan,Stanley Huang,Arts/Entertainment,First Generation,55251,Stanley Huang  is a Taiwanese American Mandopop singer and actor
Taiwan,Richard Chen,Other,Second Generation or Higher,50077,"Richard Chen is the executive chef of Wing Lei, a restaurant in the Wynn Las Vegas"
Taiwan,Evonne Hsu,Arts/Entertainment,Second Generation or Higher,49467,"Evonne Hsu, also known as Hsu Hui-hsin  was born 5 December 1976 in Longview, Texas, United States"
Taiwan,Katrina Law,Arts/Entertainment,First Generation,44143,Katrina Law is an American actress
Taiwan,Patty Hou,Media/Journalism,First Generation,42760,Patty Hou  is a former news anchor in Taiwan who resigned her position after a Hong Kong magazine revealed her relationship with Taiwanese R&amp;B singer Jay Chou in February 2005
Taiwan,Jason Chen,Arts/Entertainment,First Generation,35611,"Jason Chen , born November 12, 1988, is a Taiwanese American pop singer"
Taiwan,Yuan Chang,Academia/Science,Second Generation or Higher,34684,"Yuan Chang  is an American virologist and pathologist who co-discovered Kaposi's sarcoma-associated herpesvirus  and Merkel cell polyomavirus, two of the seven known human oncoviruses"
Taiwan,Jerry Lo,Arts/Entertainment,First Generation,34330,"Jerry Lo  also known as DJ Jerry, is a singer, songwriter and The Hard Trance DJ, who was very popular in Taiwan in the 1990s"
Taiwan,Christie Hsiao,Arts/Entertainment,Second Generation or Higher,33513,"Christie Hsiao is the founder, president, and CEO of Serenity Media Group, Inc"
Taiwan,Hank Chien,Other,Second Generation or Higher,29425,Hank Chien is the former world record holder of the video game Donkey Kong
Taiwan,Annie Lin,Arts/Entertainment,Second Generation or Higher,27371,Annie Lin is a US-based songwriter and the founder of the Ariadne Record label
Vietnam,Joseph Cao,Government,Second Generation or Higher,198525,"çnh ""Joseph"" Quang Cao  is an American politician who was the U"
Vietnam,Tyga,Arts/Entertainment,Second Generation or Higher,158847,"Michael Ray Nguyen-Stevenson , known by his stage name Tyga , is an American rapper from Gardena, California"
Vietnam,Cung Le,Sports,Second Generation or Higher,129987,"Cung Le  is a Vietnamese-American retired mixed martial artist, actor, and former Sanshou kickboxer who competed as a middleweight in the Ultimate Fighting Championship , holding a record of 2-2 with the organization"
Vietnam,Dat Nguyen,Sports,Second Generation or Higher,118691,Dat Tan Nguyen   is a sports radio host and former football player who was a linebacker in the National Football League  for seven seasons
Vietnam,Viet D. Dinh,Government,First Generation,113575,"Viet D  Dinh  is a lawyer and a conservative legal scholar who served as an Assistant Attorney General of the United States from 2001 to 2003, under the presidency of George W"
Vietnam,Maggie Q.,Arts/Entertainment,First Generation,111997,"Margaret Denise Quigley , professionally known as Maggie Q, is an American actress and model"
Vietnam,Men Nguyen,Sports,First Generation,111810,"Men ""The Master"" Nguyen  is a Vietnamese-American professional poker player"
Vietnam,Scotty Nguyen,Sports,First Generation,111710,"Thu_n B  ""Scotty"" Nguy_n  is a Vietnamese American professional poker player who is a five-time World Series of Poker  bracelet winner, most notably as the winner of the 1998 World Series of Poker Main Event and the 2008 WSOP $50,000 H"
Vietnam,Ngo Quang Truong,Military,First Generation,110944,Lieutenant General Ng_ Quang Tr__ng  was an officer in the Army of the Republic of Vietnam 
