Jeremy Lin, Sports,568801
Charles K. Kao, Civil Rights,325584
Wong Kim Ark, Civil Rights,319277
Brian Ching, Sports,307689
Michelle Kwan, Sports,266097
Maya Lin, Arts,258551
Bruce Lee, Entertainment,256813
I. M. Pei, Arts,246756
Ang Lee, Entertainment,239827
Michael Chang, Sports,233276
Leland Yee, Politics and government,220746
Nancy Kwan, Entertainment,216011
Vania King, Sports,215148
Steven Chu, Politics and government,196146
Steven Chu, Civil Rights,196146
Nathan Adrian, Sports,193968
Wilber Pan, Music,188187
Lucy Liu, Entertainment,188061
Elaine Chao, Politics and government,182851
Anna May Wong, Entertainment,174120
Joan Chen, Entertainment,173620
Chen Ning Yang, Civil Rights,171773
Shiing-Shen Chern, Civil Rights,171600
Leehom Wang, Entertainment,169116
Leehom Wang, Music,169116
Yuan T. Lee, Civil Rights,166141
Caroline Zhang, Sports,165032
Judy Chu, Politics and government,163535
Malan Breton, Fashion design,162218
Roger Y. Tsien, Civil Rights,157814
Kelis, Music,152716
Gary Locke, Politics and government,146524
Charles Mingus, Music,135424
Grace Meng, Politics and government,132462
Johnny Chan, Sports,131891
Olivia Munn, Entertainment,131077
Jennifer Tilly, Entertainment,130522
Kelly Hu, Entertainment,129305
Jason Tom, Music,127600
Tony Hwang, Politics and government,126516
Sam Tsui, Music,123818
Justin Lin, Entertainment,122795
Norm Chow, Sports,119165
Andrea Jung, Business,117394
Kevin Wu, Entertainment,116965
Paul C. W. Chu, Civil Rights,116948
Daniel Wu, Entertainment,116303
Wenjian Liu, Politics and government,116159
Tao Lin, Literature,112391
Daniel Akaka, Politics and government,112312
Goodwin Liu, Politics and government,111020
Goodwin Liu, Law and judiciary,111020
T. Y. Lin, Civil Rights,110969
Christina Gao, Sports,110162
Alfred Y. Cho, Civil Rights,108236
Shen Wei, Arts,106723
Ted Fu, Entertainment,106525
Jerry Hsu, Sports,106317
Charles Djou, Politics and government,105974
David Henry Hwang, Literature,105012
Tony Gunawan, Sports,104906
Denny Chin, Law and judiciary,104231
Haing S. Ngor, Entertainment,104168
Charles Wang, Business,104052
Chris Lu, Politics and government,102699
Ed Jew, Politics and government,102141
James Wong Howe, Arts,101677
Chien, Civil Rights,101024
Leroy Chiao, Civil Rights,100155
Tina Tchen, Politics and government,99898
Samuel C. C. Ting, Civil Rights,99573
Tim Wu, Civil Rights,99195
Fala Chen, Entertainment,96094
Vincent Chin, Other,95338
Chau Giang, Sports,93614
John Juanda, Sports,93305
Carmit Bachar, Music,93261
Amy Chow, Sports,93207
Hiram L. Fong, Politics and government,93160
David T. Hon, Business,92646
Brandon Lee, Entertainment,92339
Meg Tilly, Entertainment,92309
Keye Luke, Entertainment,91828
Julie Chen, Media,91495
Gene Luen Yang, Literature,89900
Rosalind Chao, Entertainment,89646
Alice S. Huang, Civil Rights,88883
David Wu, Politics and government,88767
Lisa Ling, Media,87325
B. D. Wong, Entertainment,87294
Leah Dizon, Entertainment,86651
Danny Chen, Military,86262
Eileen Chang, Literature,84885
John Liu, Politics and government,84875
Richard On, Music,84035
Lauren Tom, Entertainment,83879
Henry T. Yang, Civil Rights,83492
Vera Wang, Fashion design,83014
Jaycee Chan, Music,82942
Connie Chung, Media,82750
Julie Chu, Sports,82428
Chang and Eng Bunker, Other,82331
Kevin Cheng, Entertainment,82080
Anna Chen Chennault, Media,81539
Janel Parrish, Entertainment,81355
Amy Tan, Literature,80795
CoCo Lee, Music,80770
Francis B. Wai, Military,78781
Melissa Lee, Media,77746
William Hung, Entertainment,77195
Chang Yi Wang, Civil Rights,77169
George Hu, Entertainment,76845
Timothy Tau, Literature,76732
Timothy Tau, Entertainment,76732
Vanness Wu, Entertainment,76535
Iris Chang, Media,76523
Jay Chen, Politics and government,76383
Crystal Lee, Other,76278
Oscar Tang, Business,75573
Wendi Deng, Business,75237
Ming-Na Wen, Entertainment,75228
Carrie Ann Inaba, Entertainment,74749
Ching W. Tang, Civil Rights,74670
Xu Bing, Arts,74427
Margaret Chin, Politics and government,74006
Annabel Chong, Entertainment,73810
Victor Sen Yung, Entertainment,73357
Only Won, Music,73060
Eddie Huang, Entertainment,72836
Tony Hsieh, Business,72780
Laura Ling, Media,72331
Harry Wu, Civil Rights,72068
Amy Chua, Law and judiciary,71434
Fred Chang, Business,71233
Leon Chua, Civil Rights,70745
Martin Yan, Entertainment,70242
Ivana Hong, Sports,69082
Andrew Yao, Civil Rights,68851
Daniel Chee Tsui, Civil Rights,68445
Ken Hom, Entertainment,68145
Vienna Teng, Music,67887
Yitang Zhang, Civil Rights,67511
Greg Tseng, Business,67507
Frank H. Wu, Civil Rights,67112
Ann Lee, Civil Rights,66702
Lanhee Chen, Politics and government,66477
Jennifer 8. Lee, Media,65267
Shien Biau Woo, Politics and government,64844
Andrew Lih, Civil Rights,64335
Alfred Lin, Business,64075
Malese Jow, Entertainment,63909
Kim Ng, Business,63546
Jason Wu, Fashion design,63466
Justin Lo, Music,63429
Maxine Hong Kingston, Literature,63399
Rudy Gunawan, Sports,63378
Allan Fung, Politics and government,62558
Anna Sui, Fashion design,62274
Li Lu, Business,62037
Weili Dai, Business,61969
Edward Lu, Civil Rights,61526
Ming Tsai, Entertainment,61243
Tyson Beckford, Entertainment,61086
Susan C. Lee, Politics and government,60862
Ha Jin, Literature,60646
Betty Ong, Other,59982
Marilyn Chin, Literature,59911
John S. Chen, Business,59816
Dolly M. Gee, Law and judiciary,59767
Steve Chen, Business,59340
Steve Chen, Business,59340
Harry Shum, Entertainment,58902
Bright Sheng, Music,58864
JuJu Chan, Entertainment,58186
Frank Shu, Civil Rights,58151
Ted Chiang, Literature,58101
Mun Charn Wong, Business,57769
Mun Charn Wong, Military,57769
Portia Li, Media,57189
Liu Yifei, Entertainment,57057
Shannon Lee, Entertainment,56744
Judy Yung, Literature,56592
Tiffany Chin, Sports,56565
Janet Hsieh, Entertainment,56414
Chiang Nan, Media,55869
Feodor Chin, Entertainment,55799
Ken Leung, Entertainment,55702
Gwendoline Yeo, Entertainment,55597
Peter Koo, Politics and government,55513
Huping Ling, Civil Rights,55509
Michelle Krusiec, Entertainment,55404
Min Chiu Li, Civil Rights,55156
Wong Chin Foo, Civil Rights,54826
Yishan Wong, Business,54801
Thomas W. Chinn, Civil Rights,54796
Yiyun Li, Literature,54786
Xiaodong Wang, Civil Rights,54708
Jason Scott Lee, Entertainment,54426
Goh Choo San, Arts,54236
Gerald Tsai, Business,54173
Wayne Lo, Other,53984
Laurence Yep, Literature,53758
May Sun, Arts,53488
Kristina Wong, Entertainment,53454
Him Mark Lai, Civil Rights,53382
James Yee, Military,53325
Chuti Tiu, Entertainment,52782
Mel Chin, Arts,52760
Al Young, Media,52667
Al Young, Sports,52667
Mark Chung, Sports,52633
Wayne Wang, Arts,52563
Russell Wong, Entertainment,52553
Ed Wang, Sports,52356
Wilma Chan, Politics and government,52220
Adeline Yen Mah, Literature,52090
Sheryl WuDunn, Media,52055
An Wang, Business,51919
An Wang, Civil Rights,51919
Archie Kao, Entertainment,51561
Yung Wing, Other,51413
Michaela Conlin, Entertainment,51361
Min Chueh Chang, Civil Rights,51336
Morgan Chu, Law and judiciary,51078
Norman Bay, Law and judiciary,50903
William Wang, Business,50809
Flora Chan, Music,50714
Zhou Long, Music,50565
Kevin Tan, Sports,50558
Peidong Yang, Civil Rights,50490
Dawen, Music,50476
Christine Chen, Media,50463
Ronald Lew, Law and judiciary,50286
Mimi So, Arts,50175
Taylor Wang, Civil Rights,50120
Tyson Mao, Other,49968
Brian Sun, Law and judiciary,49841
Yuet Wai Kan, Civil Rights,49754
Kenneth Tse, Music,49615
Sewell Chan, Media,49587
Frank Chin, Literature,49508
Jade Snow Wong, Literature,49134
Gish Jen, Literature,49124
Lynn Chen, Entertainment,49039
Kaity Tong, Media,48914
Welly Yang, Entertainment,48865
Henry C. Lee, Civil Rights,48379
Marie Matiko, Entertainment,48348
Garrett Wang, Entertainment,47002
Tyrus Wong, Arts,46912
Robin Shou, Entertainment,46850
Xu Xi, Literature,46697
Meiling Melanðon, Entertainment,46651
Kai Huang, Business,46562
Lisa See, Literature,46540
Hazel Ying Lee, Military,46298
Louis Ozawa Changchien, Entertainment,46170
Paul Tseng, Civil Rights,46071
Esther Eng, Entertainment,45988
Mark Foo, Sports,45976
Kjell N. Lindgren, Civil Rights,45851
Tung Hua Lin, Civil Rights,45810
Miranda Kwok, Entertainment,45700
Sherman Wu, Civil Rights,45632
Jean Kwok, Literature,45341
Eugenia Yuan, Entertainment,45281
Goo Kim Fui, Politics and government,45253
Coral Wong Pietsch, Military,45188
Joyce Kennard, Law and judiciary,44547
Ping Tom, Business,44147
Larissa Lam, Music,44029
Anchee Min, Literature,43877
Ben Chiu, Business,43831
Ming C. Lin, Civil Rights,43675
Jessika Van, Entertainment,43674
Mynette Louie, Entertainment,43594
Dan Lin, Business,43509
George H. King, Law and judiciary,43480
Ke Huy Quan, Entertainment,43428
John Lone, Entertainment,43332
Phillip Lim, Fashion design,43258
Carol Lin, Media,43242
Tze Chun, Entertainment,43177
Ming Chin, Law and judiciary,42845
Vivienne Tam, Fashion design,42808
Veronica De La Cruz, Media,42774
Melissa Ng, Entertainment,42628
Joanna Wang, Entertainment,42398
Celina Jade, Entertainment,42199
Mae Yih, Politics and government,42194
Dan Kwong, Entertainment,42047
Victoria Chang, Literature,41929
David Wong Louie, Literature,41774
Lew Hing, Business,41748
Shawn Wong, Literature,41679
Raymond Kwok Chow, Other,41668
Sam Chang, Business,41104
Tom Y. Chan, Business,41008
Alex Wan, Politics and government,40909
Byron Mann, Entertainment,40800
Vern Yip, Entertainment,40768
William F. Lee, Law and judiciary,40567
Choh Hao Li, Civil Rights,40455
Andrew Cherng, Business,40113
T. V. Carpio, Entertainment,39944
Kiana Tom, Entertainment,39911
William C. Hsiao, Civil Rights,39890
Yiaway Yeh, Politics and government,39603
Lisa Wang, Sports,39594
Jessica Yu, Arts,39385
Jeff Yang, Media,39336
Grace Wong, Entertainment,39220
China Chow, Entertainment,39111
Lara Veronin, Music,39004
Shing, Civil Rights,38850
John C. Young, Military,38750
Malinda Lo, Literature,38732
Peter Som, Fashion design,38701
Catalina Yue, Entertainment,38673
Catalina Yue, Music,38673
Bette Bao Lord, Literature,38569
Aaron Shang, Entertainment,38550
Frances Yao, Civil Rights,38533
Lan Samantha Chang, Literature,38483
Roger Fan, Entertainment,38315
March Fong Eu, Politics and government,38305
Ching Chun Li, Civil Rights,38130
Will Tiao, Entertainment,38003
Helen Zia, Civil Rights,37903
Eric Liu, Literature,37733
Derek Lam, Fashion design,37554
Helen Wong, Entertainment,37388
Freida Lee Mock, Arts,37296
Doug Chiang, Fashion design,37242
Stephen Z.D. Cheng, Civil Rights,37041
Roger H. Chen, Business,37008
John Tu, Business,37003
Mandy Cho, Entertainment,37003
Liang May Seen, Other,36863
Sam Chu Lin, Media,36817
Mary Ping, Fashion design,36675
Robert Chen, Music,36587
Jianlin Cheng, Civil Rights,36527
David S. C. Chu, Military,36474
Jimmy Ouyang, Entertainment,36437
Ben Calhoun, Media,36244
Joe Hin Tjio, Civil Rights,36221
Ben Fee, Literature,36169
Andrew Chou, Music,36122
Huajian Gao, Civil Rights,36093
Yin Chang, Entertainment,36085
Kai, Business,35888
Jodi Long, Entertainment,35870
Nancy Zhou, Music,35863
Perry Chen, Business,35803
Yuan, Civil Rights,35791
Ping Chong, Arts,35686
Arthur Chin, Military,35679
Lue Gim Gong, Civil Rights,35657
Kelvin Han Yee, Entertainment,35562
Julia Nickson, Entertainment,35523
James Hiroyuki Liao, Entertainment,35497
John Chuang, Business,35248
Anna Chao Pai, Civil Rights,34995
Ron Chew, Media,34968
Ed Lin, Literature,34890
Karin Anna Cheung, Entertainment,34628
Tiffany Lam, Entertainment,34606
Ming Hsieh, Business,34487
Yo, Music,34361
Chin Lin Sou, Politics and government,34301
Wenlan Chia, Fashion design,34058
Ne, Music,33944
Laura Chang, Media,33843
Raymond Wu, Entertainment,33837
Fang, Entertainment,33773
Clara Elizabeth Chan Lee, Other,33722
Ruby Yang, Entertainment,33649
Arvin Chen, Entertainment,33433
Irene Ng, Entertainment,33073
Timothy C. Wong, Literature,32838
Gus Lee, Literature,32685
Kelly Vitz, Entertainment,32669
Delbert Wong, Law and judiciary,32629
Shunza, Music,32484
Corrie Lothrop, Sports,32453
Dyana Liu, Entertainment,32423
Way Kuo, Civil Rights,32362
Rupert Jee, Entertainment,32325
Jen Kao, Fashion design,32261
Joe Zee, Fashion design,32028
Charles Goodall Lee, Civil Rights,31954
Lin He, Civil Rights,31924
Thomas Tang, Law and judiciary,31904
Alfred Chuang, Business,31768
Donald Tang, Business,31643
Nancy, Politics and government,31535
William Marr, Literature,31529
Sophia Yan, Music,31182
XiXi Yang, Entertainment,31161
Katherine Young, Other,31085
Kevin Wong, Sports,31065
James C. Wang, Civil Rights,31035
Andrea Wong, Business,31013
Yan Huo, Business,30978
Ivan Shaw, Entertainment,30805
Jimmy Chiang, Business,30745
Gilbert Chu, Civil Rights,30716
Chuck Sun, Sports,30530
Jim Chen, Civil Rights,30442
Mock Duck, Other,30333
David Yu, Business,30257
Dai, Music,30162
Jon Jang, Music,30054
Wah Kau Kong, Military,30052
Tsung, Civil Rights,29848
Wen Tsing Chow, Civil Rights,29814
Seong Moy, Arts,29794
Karen Kwan, Sports,29743
John Liew, Business,29671
Cho, Music,29467
Edward Wong, Media,29295
Robert C. T. Lee, Civil Rights,29049
Joseph Lin, Music,28770
