Source Country,Name,Field Of Influence,Generation,Influence,Description
France,John F. Kennedy,Government,Second Generation or Higher,885862,"John Fitzgerald Kennedy , commonly known as Jack Kennedy or by his initials JFK, was an American politician who served as the 35th President of the United States from January 1961 until his assassination in November 1963"
France,Hillary Rodham Clinton,Government,Second Generation or Higher,840721,"Hillary Diane Rodham Clinton  is a former United States Secretary of State, serving under President Barack Obama from 2009 to 2013; a former United States Senator from New York, serving from 2001 to 2009; and, as the wife of President Bill Clinton, was First Lady of the United States from 1993 to 2001"
France,Franklin D. Roosevelt,Government,Second Generation or Higher,825580,"Franklin Delano Roosevelt  , commonly known by his initials FDR, was an American statesman and political leader who served as the 32nd President of the United States"
France,Al Gore,Government,Second Generation or Higher,759655,"Albert Arnold ""Al"" Gore, Jr"
France,Hulk Hogan,Sports,First Generation,708840,"Terry Gene Bollea , better known by his ring name Hulk Hogan, is an American professional wrestler, actor, television personality, entrepreneur, and musician currently signed with WWE"
France,Cher,Arts/Entertainment,Second Generation or Higher,629134,"Cher  is an American singer, songwriter, actress, model, fashion designer, television host, comedian, dancer, businesswoman, philanthropist, author, film producer, director, and record producer"
France,Harry Truman,Government,Second Generation or Higher,625526,Harry S  Truman  was the 33rd President of the United States 
France,Lyndon LaRouche,Government,Second Generation or Higher,596816,"Lyndon Hermyle LaRouche, Jr"
France,Elvis Presley,Arts/Entertainment,Second Generation or Higher,575221,Elvis Aaron Presley[a]  was an American singer and actor
France,Angelina Jolie,Arts/Entertainment,Second Generation or Higher,555882,"Angelina Jolie Pitt  is an American actress, filmmaker, and humanitarian"
France,Mike Gravel,Government,First Generation,525062,"Maurice Robert ""Mike"" Gravel  is a former Democratic United States Senator from Alaska, who served two terms from 1969 to 1981, and a candidate in the 2008 U"
France,Alexander Hamilton,Government,Second Generation or Higher,496299,"Alexander Hamilton  was a founding father of the United States, chief staff aide to General George Washington, one of the most influential interpreters and promoters of the U"
France,Triple H,Sports,Second Generation or Higher,472746,"Paul Michael Levesque , better known by his ring name Triple H , is an American business executive, professional wrestler, actor, and former bodybuilder"
France,Brett Favre,Sports,First Generation,434997,Brett Lorenzo Favre  is a former American football quarterback who spent the majority of his career with the Green Bay Packers of the National Football League 
France,David Vitter,Government,Second Generation or Higher,432514,David Bruce Vitter  is the senior United States Senator from Louisiana and a member of the Republican Party
France,William Taft,Government,Second Generation or Higher,422986,William Howard Taft  was the 27th President of the United States  and later the tenth Chief Justice of the United States 
France,James A. Garfield,Government,Second Generation or Higher,409697,"James Abram Garfield  was the 20th President of the United States, serving from March 4, 1881, until his assassination later that year"
France,Jacqueline Bouvier Kennedy Onassis,Media/Journalism,First Generation,391093,"Jacqueline Lee ""Jackie""  Kennedy Onassis   was the wife of the 35th President of the United States, John F"
France,Jacqueline Kennedy Onassis,Arts/Entertainment,First Generation,390695,"Jacqueline Lee ""Jackie""  Kennedy Onassis   was the wife of the 35th President of the United States, John F"
France,Greg LeMond,Sports,First Generation,387402,"Gregory James ""Greg"" LeMond  is an American former professional road racing cyclist"
France,John Tyler,Government,Second Generation or Higher,371394,John Tyler  was the tenth President of the United States 
France,Gilbert du Motier,Military,Second Generation or Higher,370130,"Marie-Joseph Paul Yves Roch Gilbert du Motier de Lafayette, Marquis de Lafayette , in the U"
France,Terry Labonte,Sports,Second Generation or Higher,365129,"Terrance Lee ""Terry"" Labonte  is a retired American stock car racing driver"
France,Warren Buffett,Other,Second Generation or Higher,356671,"Warren Edward Buffett  is an American business magnate, investor and philanthropist"
France,Anne Hathaway,Arts/Entertainment,Second Generation or Higher,348716,"Anne Jacqueline Hathaway  is an American actress, singer, and producer"
France,Nap Lajoie,Sports,Second Generation or Higher,329704,"Napol_on ""Nap"" Lajoie , also known as Larry Lajoie and nicknamed ""The Frenchman"", was an American professional baseball second baseman and player-manager"
