Country,Name,Profession,Influence Score
India,Bobby Jindal, Elected Officials,416295
India,Deepak Chopra, Science and technology,286125
India,Ravi Shankar, Literature,280151
India,Nina Davuluri, Activists/Civil Rights,247733
India,Prem Rawat, Religion,242922
India,Amartya Sen, Nobel Prize,241442
India,Norah Jones, Musicians,227502
India,Kamala Harris, Elected Officials,224239
India,M. Night Shyamalan, Activists/Civil Rights,199399
India,The Great Khali, Sports,194944
India,Calyampudi Radhakrishna Rao, Mathematicians,191590
India,C. R. Rao, Scholars,191259
India,Nikki Haley, Elected Officials,184973
India,V.S. Ramachandran, Scholars,182336
India,Vilayanur S. Ramachandran, Science and technology,182030
India,Surya Yalamanchili, Civil Servants,178263
India,Harbhajan Singh Yogi, Yoga,173720
India,Kaavya Viswanathan, Literature,172738
India,Dinesh D'Souza, Dean/President,170488
India,Subramanyan Chandrasekhar, Nobel Prize,168369
India,Sanjaya Malakar, Musicians,167811
India,Har Gobind Khorana, Nobel Prize,165402
India,Preet Bharara, Civil Servants,161318
India,Ami Bera, Elected Officials,154750
India,Rajat Gupta, Former,150893
India,Har Dayal, Civil Servants,148720
India,Dr. Sanjay Gupta, Medicine,147975
India,Sanjay Gupta, Medicine,147699
India,Neel Kashkari, Civil Servants,147582
India,Fareed Zakaria, Media,143201
India,Sonjay Dutt, Sports,142775
India,Vivek Wadhwa, Founders / Entrepreneurs / Venture Capitalists,141714
India,Indra Nooyi, Business Executives,140086
India,Vivek Kundra, Civil Servants,138506
India,Mindy Kaling, Actors and actresses,137614
India,Das Racist, Musicians,134325
India,Sameer Gadhia, Musicians,133785
India,Sunita Williams, Science and technology,132679
India,Raj Mukherji, Civil Servants,130749
India,Sameer Bhattacharya, Musicians,130697
India,C. Kumar N. Patel, Science and technology,128207
India,Ravi Zacharias, Religion,124980
India,Ashutosh Tewari, Science and technology,124873
India,Yellapragada Subbarow, Medicine,124544
India,S. T. Joshi, Literature,117516
India,Mira Nair, Activists/Civil Rights,115319
India,Satya Nadella, Founders / Entrepreneurs / Venture Capitalists,114855
India,Kalpana Chawla, Science and technology,114479
India,Sheetal Sheth, Actors and actresses,114229
India,Zubin Mehta, Musicians,113202
India,Jinder Mahal, Sports,112691
India,Aziz Ansari, Actors and actresses,112674
India,Sugata Bose, Scholars,112316
India,Satveer Chaudhary, Elected Officials,110657
India,Vikram Pandit, Former,110576
India,Arts, Activists/Civil Rights,110033
India,Venkatraman Ramakrishnan, Nobel Prize,109225
India,Rajeev Ram, Sports,108643
India,Raj Reddy, Science and technology,108601
India,Vinod Dham, Science and technology,107898
India,Jamshed Bharucha, Dean/President,107775
India,Rashad Hussain, Civil Servants,106440
India,Aasif Mandvi, Actors and actresses,104943
India,Srikanth Srinivasan, Civil Servants,104823
India,Julie Titus, Activists/Civil Rights,104618
India,Rajit Gadh, Scholars,103912
India,Kal Penn, Actors and actresses,103687
India,Saqib Ali, Elected Officials,103410
India,Rajiv Shah, Civil Servants,100945
India,Manjul Bhargava, Mathematicians,100255
India,E. Premkumar Reddy, Medicine,100057
India,Ajit Hutheesing, Founders / Entrepreneurs / Venture Capitalists,98923
India,Gurbaksh Chahal, Founders / Entrepreneurs / Venture Capitalists,97940
India,Subhash Kak, Science and technology,94495
India,Padma Lakshmi, Culinary arts,93868
India,Vivek Ranadive, Founders / Entrepreneurs / Venture Capitalists,93666
India,Jhumpa Lahiri, Literature,92464
India,Vikram Seth, Literature,91915
India,S. R. Srinivasa Varadhan, Mathematicians,91367
India,Rajiv Satyal, Comedians,91334
India,Ali Velshi, Media,88775
India,Aneesh Chopra, Civil Servants,88391
India,Ishwar K. Puri, Scholars,87468
India,Jagdish Natwarlal Bhagwati, Scholars,86446
India,Ravi Batra, Literature,86444
India,Anil Kumar, Former,86343
India,Gayatri Chakravorty Spivak, Scholars,85937
India,Azhar Usman, Comedians,85319
India,Anita Desai, Literature,85236
India,Siddhartha Mukherjee, Medicine,85003
India,Tony Kanal, Musicians,84568
India,Bhargav Sri Prakash, Founders / Entrepreneurs / Venture Capitalists,83902
India,Kumar P. Barve, Elected Officials,83641
India,Janina Gavankar, Actors and actresses,83579
India,Thomas Kailath, Scholars,83341
India,Jeff Bhasker, Musicians,82848
India,Huma Abedin, Civil Servants,82748
India,Ram Shriram, Founders / Entrepreneurs / Venture Capitalists,82094
India,Sunitha Rao, Sports,81279
India,Mervyn M. Dymally, Elected Officials,80530
India,Jay Chandrasekhar, Activists/Civil Rights,80490
India,Upendra J. Chivukula, Elected Officials,79492
India,Asra Nomani, Media,79006
India,Bamboo Shoots, Musicians,78584
India,Gopal Khanna, Civil Servants,78456
India,Swati Dandekar, Elected Officials,77586
India,Raj Goyle, Elected Officials,76623
India,H. Jay Dinshah, Culinary arts,76120
India,Brandon Chillar, Sports,75951
India,Vinod Khosla, Founders / Entrepreneurs / Venture Capitalists,75727
India,Bobby Singh, Sports,75604
India,Subra Suresh, Dean/President,75473
India,Padmanabh Jaini, Religion,75395
India,Anoop Desai, Musicians,74927
India,Vic Gundotra, Science and technology,74697
India,Amit Goyal, Science and technology,74648
India,Waris Ahluwalia, Actors and actresses,73621
India,Atul Gawande, Medicine,73495
India,Rohit Gupta, Activists/Civil Rights,73475
India,Narendra Karmarkar, Mathematicians,73437
India,Amitav Ghosh, Literature,72751
India,Amit Singhal, Science and technology,72601
India,Sim Bhullar, Sports,71345
India,Pico Iyer, Media,70993
India,Homi K. Bhabha, Scholars,70831
India,Arun Manilal Gandhi, Activists/Civil Rights,70767
India,Ajit Varki, Science and technology,70095
India,Bedabrata Pain, Science and technology,70014
India,Rajiv Joseph, Literature,70010
India,Chitra Banerjee Divakaruni, Literature,69862
India,Amar Bose, Founders / Entrepreneurs / Venture Capitalists,69635
India,Manoj Bhargava, Founders / Entrepreneurs / Venture Capitalists,69301
India,Rinku Singh, Sports,69188
India,Dan Nainan, Comedians,69031
India,Naveen Jain, Founders / Entrepreneurs / Venture Capitalists,68927
India,George Sudarshan, Science and technology,68899
India,Rajeev Motwani, Science and technology,68421
India,Manick Sorcar, Activists/Civil Rights,67575
India,Vinay Bhat, Sports,67389
India,Shreeram Shankar Abhyankar, Mathematicians,67262
India,Arjun Makhijani, Science and technology,66780
India,Kim Thayil, Musicians,66650
India,Dhan Gopal Mukerji, Literature,66593
India,Jasbina Ahluwalia, Founders / Entrepreneurs / Venture Capitalists,66421
India,C.K. Prahalad, Scholars,66171
India,Ananda Mohan Chakrabarty, Scholars,65948
India,Vineet Jain, Founders / Entrepreneurs / Venture Capitalists,65868
India,Neal Katyal, Civil Servants,65712
India,Vijay Prashad, Scholars,65332
