Bobby Jindal, Elected Officials,416295
Deepak Chopra, Science and technology,286125
Ravi Shankar, Literature,280151
Nina Davuluri, Activists/Civil Rights,247733
Prem Rawat, Religion,242922
Amartya Sen, Nobel Prize,241442
Norah Jones, Musicians,227502
Kamala Harris, Elected Officials,224239
M. Night Shyamalan, Activists/Civil Rights,199399
The Great Khali, Sports,194944
Calyampudi Radhakrishna Rao, Mathematicians,191590
C. R. Rao, Scholars,191259
Nikki Haley, Elected Officials,184973
V.S. Ramachandran, Scholars,182336
Vilayanur S. Ramachandran, Science and technology,182030
Surya Yalamanchili, Civil Servants,178263
Harbhajan Singh Yogi, Yoga,173720
Kaavya Viswanathan, Literature,172738
Dinesh D'Souza, Dean/President,170488
Subramanyan Chandrasekhar, Nobel Prize,168369
Sanjaya Malakar, Musicians,167811
Har Gobind Khorana, Nobel Prize,165402
Preet Bharara, Civil Servants,161318
Ami Bera, Elected Officials,154750
Rajat Gupta, Former,150893
Har Dayal, Civil Servants,148720
Dr. Sanjay Gupta, Medicine,147975
Sanjay Gupta, Medicine,147699
Neel Kashkari, Civil Servants,147582
Fareed Zakaria, Media,143201
Sonjay Dutt, Sports,142775
Vivek Wadhwa, Founders / Entrepreneurs / Venture Capitalists,141714
Indra Nooyi, Business Executives,140086
Vivek Kundra, Civil Servants,138506
Mindy Kaling, Actors and actresses,137614
Das Racist, Musicians,134325
Sameer Gadhia, Musicians,133785
Sunita Williams, Science and technology,132679
Raj Mukherji, Civil Servants,130749
Sameer Bhattacharya, Musicians,130697
C. Kumar N. Patel, Science and technology,128207
Ravi Zacharias, Religion,124980
Ashutosh Tewari, Science and technology,124873
Yellapragada Subbarow, Medicine,124544
S. T. Joshi, Literature,117516
Mira Nair, Activists/Civil Rights,115319
Satya Nadella, Founders / Entrepreneurs / Venture Capitalists,114855
Kalpana Chawla, Science and technology,114479
Sheetal Sheth, Actors and actresses,114229
Zubin Mehta, Musicians,113202
Jinder Mahal, Sports,112691
Aziz Ansari, Actors and actresses,112674
Sugata Bose, Scholars,112316
Satveer Chaudhary, Elected Officials,110657
Vikram Pandit, Former,110576
Arts, Activists/Civil Rights,110033
Venkatraman Ramakrishnan, Nobel Prize,109225
Rajeev Ram, Sports,108643
Raj Reddy, Science and technology,108601
Vinod Dham, Science and technology,107898
Jamshed Bharucha, Dean/President,107775
Rashad Hussain, Civil Servants,106440
Aasif Mandvi, Actors and actresses,104943
Srikanth Srinivasan, Civil Servants,104823
Julie Titus, Activists/Civil Rights,104618
Rajit Gadh, Scholars,103912
Kal Penn, Actors and actresses,103687
Saqib Ali, Elected Officials,103410
Rajiv Shah, Civil Servants,100945
Manjul Bhargava, Mathematicians,100255
E. Premkumar Reddy, Medicine,100057
Ajit Hutheesing, Founders / Entrepreneurs / Venture Capitalists,98923
Gurbaksh Chahal, Founders / Entrepreneurs / Venture Capitalists,97940
Subhash Kak, Science and technology,94495
Padma Lakshmi, Culinary arts,93868
Vivek Ranadive, Founders / Entrepreneurs / Venture Capitalists,93666
Jhumpa Lahiri, Literature,92464
Vikram Seth, Literature,91915
S. R. Srinivasa Varadhan, Mathematicians,91367
Rajiv Satyal, Comedians,91334
Ali Velshi, Media,88775
Aneesh Chopra, Civil Servants,88391
Ishwar K. Puri, Scholars,87468
Jagdish Natwarlal Bhagwati, Scholars,86446
Ravi Batra, Literature,86444
Anil Kumar, Former,86343
Gayatri Chakravorty Spivak, Scholars,85937
Azhar Usman, Comedians,85319
Anita Desai, Literature,85236
Siddhartha Mukherjee, Medicine,85003
Tony Kanal, Musicians,84568
Bhargav Sri Prakash, Founders / Entrepreneurs / Venture Capitalists,83902
Kumar P. Barve, Elected Officials,83641
Janina Gavankar, Actors and actresses,83579
Thomas Kailath, Scholars,83341
Jeff Bhasker, Musicians,82848
Huma Abedin, Civil Servants,82748
Ram Shriram, Founders / Entrepreneurs / Venture Capitalists,82094
Sunitha Rao, Sports,81279
Mervyn M. Dymally, Elected Officials,80530
Jay Chandrasekhar, Activists/Civil Rights,80490
Upendra J. Chivukula, Elected Officials,79492
Asra Nomani, Media,79006
Bamboo Shoots, Musicians,78584
Gopal Khanna, Civil Servants,78456
Swati Dandekar, Elected Officials,77586
Raj Goyle, Elected Officials,76623
H. Jay Dinshah, Culinary arts,76120
Brandon Chillar, Sports,75951
Vinod Khosla, Founders / Entrepreneurs / Venture Capitalists,75727
Bobby Singh, Sports,75604
Subra Suresh, Dean/President,75473
Padmanabh Jaini, Religion,75395
Anoop Desai, Musicians,74927
Vic Gundotra, Science and technology,74697
Amit Goyal, Science and technology,74648
Waris Ahluwalia, Actors and actresses,73621
Atul Gawande, Medicine,73495
Rohit Gupta, Activists/Civil Rights,73475
Narendra Karmarkar, Mathematicians,73437
Amitav Ghosh, Literature,72751
Amit Singhal, Science and technology,72601
Sim Bhullar, Sports,71345
Pico Iyer, Media,70993
Homi K. Bhabha, Scholars,70831
Arun Manilal Gandhi, Activists/Civil Rights,70767
Ajit Varki, Science and technology,70095
Bedabrata Pain, Science and technology,70014
Rajiv Joseph, Literature,70010
Chitra Banerjee Divakaruni, Literature,69862
Amar Bose, Founders / Entrepreneurs / Venture Capitalists,69635
Manoj Bhargava, Founders / Entrepreneurs / Venture Capitalists,69301
Rinku Singh, Sports,69188
Dan Nainan, Comedians,69031
Naveen Jain, Founders / Entrepreneurs / Venture Capitalists,68927
George Sudarshan, Science and technology,68899
Rajeev Motwani, Science and technology,68421
Manick Sorcar, Activists/Civil Rights,67575
Vinay Bhat, Sports,67389
Shreeram Shankar Abhyankar, Mathematicians,67262
Arjun Makhijani, Science and technology,66780
Kim Thayil, Musicians,66650
Dhan Gopal Mukerji, Literature,66593
Jasbina Ahluwalia, Founders / Entrepreneurs / Venture Capitalists,66421
C.K. Prahalad, Scholars,66171
Ananda Mohan Chakrabarty, Scholars,65948
Vineet Jain, Founders / Entrepreneurs / Venture Capitalists,65868
Neal Katyal, Civil Servants,65712
Vijay Prashad, Scholars,65332
Swapan Chattopadhyay, Science and technology,65235
Raja Krishnamoorthi, Civil Servants,65205
Shikha Uberoi, Sports,65156
Vikas Khanna, Culinary arts,64917
Aruna Miller, Elected Officials,64844
Satish K. Tripathi, Dean/President,64635
Arj Barker, Comedians,64285
Sendhil Ramamurthy, Actors and actresses,64237
Rajen Sheth, Founders / Entrepreneurs / Venture Capitalists,63609
Mani Lal Bhaumik, Science and technology,63543
Kiran Desai, Literature,63294
Vijay Iyer, Musicians,63232
Danny Pudi, Actors and actresses,63077
Noureen DeWulf, Actors and actresses,62700
Mohini Bhardwaj, Sports,62682
Gabrielle Anwar, Actors and actresses,62572
Narayana Kocherlakota, Civil Servants,62234
Karan Brar, Actors and actresses,62130
Sunny Jain, Musicians,61948
Sachin H. Jain, Scholars,61781
Sunil Gulati, Sports,61501
Abraham Verghese, Literature,61185
Aneesh Raman, Media,60726
Narayan Hosmane, Scholars,60597
Eboo Patel, Religion,60312
Ruchi Sanghvi, Founders / Entrepreneurs / Venture Capitalists,59637
Akhil Amar, Scholars,59559
Param Gill, Activists/Civil Rights,59525
Adam Bhala Lough, Activists/Civil Rights,59504
Pradeep Khosla, Dean/President,58875
Sam Arora, Elected Officials,58818
Tarsem Singh, Activists/Civil Rights,58759
Renu Khator, Dean/President,58314
Mahzarin Banaji, Activists/Civil Rights,57827
Sarvadaman Chowla, Mathematicians,57719
Arogyaswami Paulraj, Scholars,57451
Bhagat Singh Thind, Activists/Civil Rights,57278
Pranav Mistry, Science and technology,57047
Padmasree Warrior, Business Executives,56874
Salma Arastu, Activists/Civil Rights,56273
Simran Sethi, Media,55833
Amit Sheth, Scholars,55200
M. A. Muqtedar Khan, Scholars,55098
Pulickel M. Ajayan, Scholars,55063
P.S. Ayyaswamy, Scholars,54928
Paul Shrivastava, Dean/President,54807
Prith Banerjee, Business Executives,53781
Bharati Mukherjee, Scholars,53686
Govindini Murty, Activists/Civil Rights,53475
Cathy Bissoon, Civil Servants,53410
Rory Cochrane, Actors and actresses,53275
Sashi Reddi, Founders / Entrepreneurs / Venture Capitalists,52752
Urvashi Vaid, Activists/Civil Rights,52751
Omi Vaidya, Actors and actresses,52711
Shwetak Patel, Scholars,52551
Rajeev Suri, Business Executives,52374
Sabu Dastagir, Actors and actresses,52371
Om Malik, Science and technology,52278
Ajit Gupta, Founders / Entrepreneurs / Venture Capitalists,51985
Avinash Kamalakar Dixit, Scholars,51966
Jogesh Pati, Science and technology,51959
Maya Ajmera, Activists/Civil Rights,51826
Raj Chetty, Scholars,51821
Anchal Joseph, Models,51720
Nivedita Kulkarni, Actors and actresses,51443
Ashwin Navin, Founders / Entrepreneurs / Venture Capitalists,51387
Tulika Mehrotra, Literature,51201
Kumble R. Subbaswamy, Dean/President,51156
Karsh Kale, Musicians,51155
Raj Bhavsar, Sports,51089
Shantanu Narayen, Business Executives,50988
Satya N. Atluri, Scholars,50953
Muzammil Siddiqi, Religion,50894
Anita Goel, Founders / Entrepreneurs / Venture Capitalists,50824
Sanjay Lal, Sports,50682
Gopal Raju, Media,50626
Summer Bishil, Actors and actresses,50537
Tiya Sircar, Actors and actresses,50370
Sabrina De Sousa, Civil Servants,50257
Siva S. Banda, Science and technology,50045
Siddharth Katragadda, Literature,50018
Subir Sachdev, Scholars,49844
Zain Verjee, Media,49724
Sangeeta Bhatia, Medicine,49574
Madhu Sudan, Scholars,49568
Reef Karim, Activists/Civil Rights,49443
Navi Rawat, Actors and actresses,49311
Dalip Singh Saund, Elected Officials,49247
Farah Pandith, Civil Servants,49127
Vijay Seshadri, Literature,48756
Akshay Venkatesh, Mathematicians,48614
Erick Avari, Actors and actresses,48563
Maulik Pancholy, Actors and actresses,48530
Savan Kotecha, Musicians,48295
Sudip Bose, Military,48099
Noshir Gowadia, Science and technology,47940
Narinder Singh Kapany, Science and technology,47613
Rachel Roy, Fashion designers,47523
Ami Parekh, Sports,47406
Dinesh Patel, Sports,47315
Usha Haley, Literature,47002
Ankur Jain, Founders / Entrepreneurs / Venture Capitalists,46899
Uma Pemmaraju, Media,46799
Ambi Subramaniam, Musicians,46788
Beheruz Sethna, Dean/President,46719
John Jain, Scholars,46685
Maya Harris, Activists/Civil Rights,46661
Alexi Grewal, Sports,46604
Abhi Talwalkar, Business Executives,46578
Ashok Amritraj, Activists/Civil Rights,46465
Girindra Mukerji, Activists/Civil Rights,46288
Anant Agarwal, Scholars,46209
Abhay Ashtekar, Scholars,46074
Yatin Patel, Activists/Civil Rights,45975
Prakash Amritraj, Sports,45657
Abraham George, Activists/Civil Rights,45654
Mriganka Sur, Scholars,45627
Prashant Bhargava, Activists/Civil Rights,45139
Avinash Kak, Scholars,45078
Namrata Singh Gujral, Actors and actresses,45062
Richard Verma, Civil Servants,44976
Victor Menezes, Business Executives,44967
Joia Mukherjee, Medicine,44937
Kanwal Rekhi, Former,44834
Chitranjan Singh Ranawat, Science and technology,44725
Agha Shahid Ali, Literature,44630
Amrit Singh, Activists/Civil Rights,44553
Thara Prashad, Musicians,44462
Pran Nath, Science and technology,44370
Aravind Joshi, Scholars,44366
Umesh Vazirani, Scholars,44095
Ashok Gadgil, Scholars,43952
