Source Country,Name,Field Of Influence,Generation,Influence,Description
Cuba,Ted Cruz,Government,First Generation,466460,"Rafael Edward ""Ted"" Cruz  is the junior United States Senator from Texas"
Cuba,Voltaire,Arts/Entertainment,Second Generation or Higher,420946,"François-Marie Arouet , known by his nom de plume Voltaire , was a French Enlightenment writer, historian, and philosopher famous for his wit, his attacks on the established Catholic Church, and his advocacy of freedom of religion, freedom of expression, and separation of church and state"
Cuba,Bob Menendez,Government,Second Generation or Higher,399869,"Robert ""Bob"" Menendez  is the senior United States Senator from the State of New Jersey"
Cuba,Ryan Lochte,Sports,Second Generation or Higher,396704,Ryan Steven Lochte  is an American competitive swimmer and an 11-time Olympic medalist 
Cuba,Carly Simon,Arts/Entertainment,Second Generation or Higher,331725,"Carly Elisabeth Simon  is an American singer-songwriter, musician and children's author"
Cuba,Christina Milian,Arts/Entertainment,First Generation,323165,"Christine Flores , better known as Christina Milian , is an American actress, singer and songwriter"
Cuba,Marco Rubio,Government,Second Generation or Higher,285350,"Marco Antonio Rubio  is the junior United States Senator from Florida, serving since January 2011"
Cuba,Mary Joe Fernandez,Sports,First Generation,283707,Mary Joe Fernˆndez Godsick  is an American former professional tennis player
Cuba,Dara Torres,Sports,First Generation,282770,Dara Grace Torres  is an American former competition swimmer who is a twelve-time Olympic medalist and former world record-holder in three events
Cuba,Gloria Estefan,Arts/Entertainment,First Generation,267249,"Gloria MarÍa Milagrosa Fajardo GarcÍa de Estefan , known professionally as Gloria Estefan, is a Cuban American singer, songwriter, actress, and entrepreneur"
Cuba,Ileana Ros,Government,First Generation,242225,Ileana Ros-Lehtinen  is the U
Cuba,Jorge Posada,Sports,First Generation,227931,Jorge Rafael Posada Villeta  is a Puerto Rican former professional baseball catcher who played 17 seasons in Major League Baseball  for the New York Yankees
Cuba,Frank Mir,Sports,First Generation,225476,"Francisco Santos Mir, III , better known as Frank Mir, is an American mixed martial artist"
Cuba,Amy Rodriguez,Sports,Second Generation or Higher,225409,Amy Joy Rodriguez  is an American soccer player who currently plays for FC Kansas City in the National Women's Soccer League and is also a member of the United States women's national soccer team
Cuba,Perez Hilton,Media/Journalism,First Generation,219244,"Mario Armando Lavandeira, Jr"
Cuba,Cameron Diaz,Arts/Entertainment,First Generation,216092,"Cameron Michelle Diaz  is an American actress, producer and former fashion model"
Cuba,Gilbert Arenas,Sports,Second Generation or Higher,201791,
Cuba,Aric Almirola,Sports,Second Generation or Higher,195835,Aric A  Almirola  is a Cuban-American racing driver
Cuba,Pitbull,Arts/Entertainment,Second Generation or Higher,189979,Pit bull is the common name for a type of dog
Cuba,Maria Teresa Mestre,Arts/Entertainment,First Generation,185025,"Maria Teresa, Grand Duchess of Luxembourg , is the spouse of Grand Duke Henri"
Cuba,Maria Teresa,Other,First Generation,184971,"Maria Teresa, Grand Duchess of Luxembourg , is the spouse of Grand Duke Henri"
Cuba,Danny Valencia,Sports,Second Generation or Higher,175168,"Daniel Paul ""Danny"" Valencia  is an American professional baseball third baseman for the Toronto Blue Jays of Major League Baseball "
Cuba,"Jose ""Pepi"" Diaz",Arts/Entertainment,Second Generation or Higher,169810,"The Apprentice 5 is the fifth season of The Apprentice, with Donald Trump as the executive producer and host"
Cuba,Ashley Massaro,Arts/Entertainment,Second Generation or Higher,167900,"Ashley Marie Massaro  is an American retired professional wrestler, valet, former WWE Diva and current general manager signed to World Independent Ladies Division Wrestling"
Cuba,Albio Sires,Government,First Generation,166827,
Cuba,Lauren Jauregui,Arts/Entertainment,First Generation,166767,Fifth Harmony  is an American girl group formed on the second season of the X Factor USA
Cuba,Dave Lombardo,Arts/Entertainment,First Generation,166022,"David ""Dave"" Lombardo  is a Cuban American drummer and a co-founding member of the American thrash metal band Slayer"
Cuba,Yoel Romero,Sports,Second Generation or Higher,165993,Yoel Romero Palacio  is a Cuban mixed martial artist  and former World Champion and Olympic silver medalist in freestyle wrestling
Cuba,Roberto Orci,Arts/Entertainment,First Generation,159531,Roberto Gaston Orci  is a Mexican-American film and television writer and producer
Cuba,Bella Thorne,Arts/Entertainment,Second Generation or Higher,159293,"Annabella Avery ""Bella"" Thorne  is an American actress, singer, songwriter and model"
Cuba,Alex X. Mooney,Government,Second Generation or Higher,152961,Alex X  Mooney  is an American politician who has been the U
Cuba,Alex Mooney,Government,Second Generation or Higher,152685,Alex X  Mooney  is an American politician who has been the U
Cuba,Rafael Palmeiro,Sports,First Generation,152306,Rafael Palmeiro Corrales  is a retired Cuban American Major League Baseball first baseman and left fielder
Cuba,Eric Hosmer,Sports,First Generation,151648,Eric John Hosmer  is an American League first baseman that plays for the Kansas City Royals of Major League Baseball 
Cuba,Tony Oliva,Sports,First Generation,151419,Tony Pedro Oliva  is a former Major League Baseball  right fielder and designated hitter
Cuba,Aroldis Chapman,Sports,First Generation,148909,AlbertÍn Aroldis Chapman de la Cruz  is a Cuban professional baseball player who is nicknamed the Cuban Missile or the Cuban Flame Thrower
Cuba,Alberto Salazar,Sports,Second Generation or Higher,147661,Alberto Salazar  is an American track coach and former world-class long-distance runner
Cuba,Joel Casamayor,Sports,First Generation,147496,"Joel ""El Cepillo"" Casamayor Johnson  is a Cuban boxer, who turned pro after defecting to the United States on the eve of the 1996 Summer Olympics in Atlanta"
Cuba,Rudy Sarzo,Arts/Entertainment,First Generation,146926,Rudy Sarzo  is a Cuban American hard rock/heavy metal bassist
Cuba,Guillermo Rigondeaux,Sports,First Generation,146908,Guillermo Rigondeaux Ortiz  is a Cuban boxer who won the gold medal at the 2000 and 2004 Summer Olympics in the bantamweight  division
Cuba,Yuriorkis Gamboa,Sports,First Generation,144774,"Yuriorkis Gamboa Toledano  is a Cuban professional boxer who, as an amateur boxer, won an Olympic gold medal in the flyweight division at the 2004 Summer Olympics"
