1	China	27.5 	2.1 	19.2 	3.4 	2.0 	1.2 	4.3 	10.6 	11.5 	7.0 	2.3 	8.9 	100.0
2 	India 	15.2 	1.0 	36.9 	1.3 	4.9 	0.6 	0.7 	19.8 	11.4 	3.0 	0.5 	4.7 	100.0
3 	South Korea 	17.0 	3.7 	10.8 	12.2 	5.4 	4.6 	5.2 	5.0 	8.0 	10.1 	3.3 	14.7 	100.0
4 	Canada 	15.3 	9.1 	7.7 	7.8 	16.1 	4.8 	0.2 	2.4 	8.0 	12.0 	2.5 	14.1 	100.0
5 	Taiwan 	23.4 	4.9 	14.7 	11.5 	3.7 	2.1 	4.8 	6.0 	10.0 	7.0 	1.6 	10.3 	100.0
6 	Saudi Arabia 	18.4 	2.0 	21.8 	1.1 	5.3 	1.3 	29.1 	8.1 	3.4 	2.3 	1.7 	5.5 	100.0
7 	Japan 	19.8 	3.4 	4.4 	8.6 	3.9 	5.4 	10.8 	2.9 	5.7 	13.7 	4.7 	16.7 	100.0
8 	Vietnam 	41.3 	1.7 	10.7 	2.6 	5.2 	2.4 	4.2 	8.5 	7.1 	4.6 	2.9 	8.8 	100.0
9 	Mexico 	21.7 	3.7 	14.7 	7.5 	2.9 	4.9 	3.4 	4.8 	8.2 	10.0 	2.7 	15.5 	100.0
10 	Turkey 	17.3 	3.7 	22.9 	4.0 	1.2 	3.1 	5.1 	9.6 	8.1 	12.5 	2.6 	9.9 	100.0
11 	Nepal 	23.5 	1.1 	16.9 	1.2 	8.1 	1.2 	0.2 	12.1 	18.5 	5.6 	1.1 	10.5 	100.0
12 	Germany 	26.7 	2.1 	7.6 	4.4 	3.0 	7.3 	0.9 	3.6 	7.6 	12.3 	5.7 	18.8 	100.0
13 	United Kingdom 	19.9 	4.3 	4.7 	6.4 	4.5 	6.2 	0.4 	3.1 	8.0 	17.8 	6.5 	18.2 	100.0
14 	Brazil 	26.1 	2.9 	7.9 	7.9 	5.5 	4.7 	3.9 	3.0 	6.2 	10.1 	3.0 	18.8 	100.0
15 	Thailand 	24.2 	2.7 	17.6 	6.6 	4.5 	1.7 	4.9 	8.0 	7.4 	6.2 	2.1 	14.1 	100.0
16 	Hong Kong 	31.2 	1.4 	6.7 	8.4 	2.5 	3.5 	1.6 	5.6 	7.5 	13.6 	2.5 	15.5 	100.0
17 	France 	30.7 	1.1 	9.4 	4.9 	1.9 	7.8 	1.7 	2.9 	6.4 	8.6 	5.5 	19.1 	100.0
18 	Nigeria 	18.6 	1.5 	24.7 	1.9 	13.9 	3.2 	0.2 	6.9 	11.9 	6.8 	1.4 	9.0 	100.0
19 	Indonesia 	30.2 	2.8 	18.0 	8.1 	4.0 	2.8 	0.8 	5.5 	6.1 	7.4 	1.5 	12.8 	100.0
20 	Malaysia 	19.8 	2.1 	29.1 	3.4 	3.9 	2.1 	0.2 	7.6 	11.2 	7.7 	3.8 	9.1 	100.0
21 	Colombia 	20.1 	3.5 	16.3 	6.0 	3.0 	5.2 	7.6 	4.0 	10.0 	10.1 	1.5 	12.7 	100.0
23 	Venezuela 	26.6 	2.7 	15.7 	5.5 	3.5 	2.2 	11.9 	3.6 	5.6 	6.7 	2.0 	14.0 	100.0
24 	Pakistan 	21.5 	2.8 	24.7 	2.1 	5.0 	2.1 	0.6 	9.7 	7.3 	11.6 	2.9 	9.7 	100.0
25 	Kenya 	17.1 	4.5 	10.0 	1.7 	19.6 	3.8 	0.4 	4.6 	13.3 	9.3 	2.1 	13.6 	100.0
26 	Russia 	28.0 	3.2 	5.4 	7.6 	3.4 	7.0 	3.0 	5.4 	11.8 	11.5 	2.5 	11.2 	100.0
