Brazil 	26.3 	2.6 	7.9 	8.0 	4.1 	5.5 	2.8 	3.2 	6.1 	10.8 	19.6 	3.1 	9,029
Canada 	15.4 	5.4 	7.7 	7.2 	15.8 	4.9 	0.0 	2.7 	8.5 	13.8 	15.8 	2.8 	26,821
China 	28.7 	1.7 	19.6 	3.8 	1.5 	1.3 	2.8 	11.2 	9.9 	7.7 	9.6 	2.2 	194,029
Colombia 	18.6 	2.7 	15.0 	6.4 	3.0 	7.2 	5.5 	3.4 	9.7 	10.4 	15.0 	3.1 	6,295
France 	25.6 	0.7 	13.7 	4.2 	1.4 	8.0 	1.4 	3.9 	5.8 	9.2 	20.1 	6.0 	8,232
Germany 	24.2 	1.6 	7.6 	4.0 	2.0 	8.7 	0.3 	3.8 	7.9 	13.1 	21.0 	5.8 	9,347
Hong Kong 	28.5 	1.3 	7.2 	7.0 	3.6 	3.9 	1.3 	5.8 	7.0 	15.0 	16.4 	3.0 	8,032
India 	14.1 	0.6 	36.7 	1.3 	4.8 	0.7 	0.1 	21.7 	11.4 	3.2 	4.3 	1.1 	100,270
Indonesia 	29.0 	2.5 	19.0 	8.9 	2.9 	3.2 	1.0 	4.8 	5.7 	8.6 	12.1 	2.3 	7,131
Iran 	4.1 	0.7 	58.4 	4.5 	2.2 	1.2 	0.8 	9.5 	9.1 	4.3 	4.3 	0.9 	6,982
Japan 	19.2 	2.6 	4.6 	7.2 	3.1 	6.5 	12.1 	2.8 	5.7 	13.5 	18.5 	4.2 	19,966
Malaysia 	18.5 	2.4 	27.0 	3.5 	3.1 	1.9 	0.2 	8.1 	13.4 	8.6 	10.4 	2.9 	6,743
Mexico 	22.2 	3.1 	17.0 	6.8 	3.7 	3.4 	2.6 	3.9 	6.4 	8.8 	16.8 	5.3 	13,893
Nepal 	20.9 	0.6 	17.8 	1.5 	8.7 	0.7 	0.1 	11.6 	19.2 	5.4 	10.4 	3.1 	9,621
Nigeria 	16.3 	1.3 	22.7 	1.7 	14.3 	3.2 	0.4 	7.4 	12.5 	7.3 	9.4 	3.5 	7,028
Pakistan 	19.8 	2.4 	24.7 	2.4 	4.0 	1.8 	0.1 	9.0 	7.8 	11.6 	11.1 	5.3 	4,600
Russia 	29.4 	1.9 	6.9 	6.4 	3.1 	5.8 	2.1 	6.8 	12.1 	10.9 	11.4 	3.2 	4,805
Saudi Arabia 	15.9 	2.0 	18.4 	1.4 	4.7 	1.0 	36.3 	6.7 	3.0 	2.6 	6.2 	1.8 	34,139
South Korea 	16.8 	3.2 	12.2 	11.1 	4.9 	5.3 	4.3 	5.1 	7.8 	11.5 	14.6 	3.2 	72,295
Taiwan 	21.3 	4.7 	17.0 	11.6 	3.8 	2.4 	3.6 	6.2 	10.6 	6.8 	10.4 	1.6 	23,250
Thailand 	21.1 	2.4 	18.0 	6.7 	5.4 	2.4 	3.5 	7.5 	8.3 	7.2 	15.4 	2.1 	7,626
Turkey 	15.2 	4.2 	25.1 	3.9 	0.7 	3.3 	4.1 	9.7 	8.8 	14.4 	8.8 	1.8 	11,973
United Kingdom 	17.8 	3.2 	4.9 	6.6 	3.4 	7.9 	0.2 	2.5 	7.1 	16.8 	24.1 	5.5 	9,186
Venezuela 	25.6 	2.6 	15.5 	7.7 	3.2 	2.1 	10.4 	2.9 	4.8 	7.0 	14.3 	3.9 	6,281
Vietnam 	39.0 	1.1 	9.6 	2.9 	4.5 	1.3 	2.9 	7.1 	6.8 	4.5 	10.5 	9.8 	15,572
