Brazil 	13,286 	22.0 	10.5 	2.4 	2.9 	6.2 	21.1 	1.6 	7.3 	3.1 	14.4 	7.7 	16.9 	5.8
Canada 	28,304 	35.6 	8.2 	15.0 	3.2 	9.2 	14.7 	6.5 	8.5 	3.9 	0.1 	12.4 	14.8 	3.6
China 	274,439 	41.6 	19.8 	1.4 	11.5 	8.9 	28.0 	1.7 	5.3 	0.9 	2.8 	8.1 	8.6 	3.0
Colombia 	7,083 	30.9 	14.0 	2.6 	3.5 	10.7 	20.4 	2.2 	8.1 	4.7 	6.9 	9.7 	13.2 	3.8
France 	8,302 	25.6 	13.9 	1.1 	4.2 	6.3 	26.1 	0.8 	5.2 	6.4 	1.5 	8.7 	20.4 	5.4
Germany 	10,160 	20.4 	7.8 	1.7 	3.3 	7.5 	29.4 	1.8 	4.1 	6.6 	0.6 	12.2 	16.3 	8.5
Hong Kong 	8,104 	22.7 	7.4 	2.4 	6.6 	6.2 	24.8 	1.6 	10.2 	2.7 	1.9 	16.4 	14.6 	5.2
India 	102,673 	78.6 	38.0 	4.7 	26.0 	10.0 	11.7 	0.5 	1.4 	0.5 	0.2 	2.7 	3.4 	1.1
Indonesia 	7,920 	31.8 	16.8 	2.1 	5.4 	7.5 	29.5 	2.4 	8.9 	1.4 	1.0 	8.6 	11.7 	4.7
Iran 	10,194 	79.6 	56.0 	2.3 	10.3 	11.1 	4.6 	0.9 	5.2 	0.9 	0.8 	3.7 	3.7 	0.5
Japan 	19,334 	14.4 	4.3 	2.9 	2.4 	4.8 	18.8 	2.8 	7.7 	4.5 	15.2 	10.3 	20.9 	5.4
Kuwait 	7,288 	44.9 	39.4 	2.3 	1.5 	1.8 	13.6 	1.2 	2.6 	0.6 	28.2 	2.4 	4.6 	1.9
Malaysia 	6,822 	49.8 	28.5 	2.5 	6.5 	12.2 	19.3 	2.1 	4.6 	1.4 	0.1 	9.7 	10.4 	2.6
Mexico 	14,779 	31.5 	17.3 	3.0 	3.9 	7.4 	21.3 	2.8 	8.4 	3.7 	2.8 	9.5 	14.7 	5.4
Nepal 	8,155 	65.5 	20.0 	8.5 	13.9 	23.1 	15.9 	0.7 	1.1 	0.8 	0.1 	5.2 	7.6 	3.0
Nigeria 	7,921 	56.8 	23.9 	12.7 	7.5 	12.7 	14.2 	1.8 	2.1 	1.9 	0.4 	6.8 	11.3 	4.6
Saudi Arabia 	53,919 	41.2 	23.3 	5.8 	8.1 	4.2 	16.7 	3.2 	1.9 	1.1 	24.0 	2.4 	6.7 	2.9
South Korea 	68,047 	29.7 	12.7 	4.3 	5.3 	7.4 	17.0 	3.1 	12.8 	4.5 	3.7 	11.9 	13.4 	3.9
Spain 	5,350 	27.7 	16.4 	2.6 	3.9 	4.8 	24.2 	1.7 	6.9 	10.2 	2.5 	7.0 	15.4 	4.5
Taiwan 	21,266 	39.3 	17.1 	4.4 	6.8 	10.9 	21.0 	3.3 	12.5 	2.2 	4.2 	6.4 	9.2 	2.1
Thailand 	7,341 	38.9 	16.7 	4.1 	7.9 	10.2 	21.9 	2.2 	8.8 	1.1 	4.8 	6.1 	12.8 	3.5
Turkey 	10,821 	46.1 	26.5 	0.8 	9.9 	8.9 	15.3 	4.2 	5.8 	2.4 	3.1 	12.2 	9.0 	1.8
United Kingdom 	10,191 	19.5 	5.3 	3.5 	3.3 	7.4 	17.3 	4.0 	7.0 	7.1 	0.1 	15.6 	21.8 	7.6
Venezuela 	7,022 	28.0 	15.7 	3.3 	4.1 	4.8 	28.1 	1.6 	6.6 	1.5 	11.0 	6.4 	11.8 	5.2
Vietnam 	16,579 	30.2 	10.2 	4.3 	8.1 	7.6 	37.5 	0.9 	3.0 	1.2 	4.1 	5.1 	9.2 	8.8
