0
China,24.3,1.9,20.2,2.8,2.1,1.1,4.9,10.7,12.6,6.7,10.1,2.6
India,15.3,0.7,38.8,1.4,4.9,0.6,0.2,19.8,10.2,3.0,4.2,0.9
South Korea,17.0,3.9,12.6,10.8,5.1,4.7,4.9,5.2,7.6,10.0,14.1,4.1
Canada,15.0,12.0,7.1,6.4,16.4,4.6,0.2,2.5,7.4,11.8,13.2,3.4
Taiwan,25.5,5.8,16.6,7.7,4.0,1.9,4.6,5.8,9.4,7.1,9.8,1.8
Japan,20.9,3.4,4.4,8.8,3.2,4.4,11.3,2.9,5.7,13.2,17.0,4.8
Saudi Arabia,22.1,2.0,24.0,1.2,4.2,0.8,21.4,9.6,4.1,2.5,5.3,2.8
Mexico,21.6,3.5,16.6,7.0,3.4,4.8,1.8,4.5,6.6,9.4,15.0,5.8
Vietnam,39.7,1.6,10.8,2.6,5.5,1.2,6.3,9.4,6.8,3.4,9.2,3.5
Turkey,18.6,3.7,23.3,3.6,1.1,2.6,4.7,10.0,7.9,12.6,9.7,2.2
Nepal,26.2,0.8,13.8,1.4,9.2,1.9,0.2,11.7,15.8,6.0,11.2,1.8
Germany,24.7,1.8,8.3,4.5,3.3,6.8,0.6,3.5,7.5,11.7,19.4,7.9
United Kingdom,19.6,4.7,5.1,6.9,4.3,5.9,0.3,2.8,8.1,15.6,18.9,7.8
Brazil,28.3,3.0,8.3,7.3,4.7,4.6,3.7,3.3,6.1,9.3,18.1,3.3
Thailand,26.6,3.1,18.8,3.7,4.4,1.7,4.4,8.3,7.1,7.0,12.6,2.3
Hong Kong,31.9,1.2,9.4,6.1,2.3,2.4,2.1,4.9,7.4,13.8,12.8,5.7
France,29.3,1.2,13.4,3.7,2.2,6.6,1.3,3.3,6.6,7.7,16.3,8.4
Indonesia,36.7,2.5,18.8,5.8,3.5,1.8,6.2,6.3,5.3,6.3,10.7,2.0
Colombia,20.8,3.8,17.5,5.9,3.3,5.0,4.6,3.7,9.6,9.9,13.8,2.1
Nigeria,19.0,1.5,23.6,1.8,14.2,3.0,0.2,5.6,11.8,7.0,10.5,1.8
Malaysia,21.5,3.0,28.4,3.1,3.9,1.4,0.7,6.0,10.5,8.0,9.2,4.3
Kenya,17.2,4.6,10.6,2.3,21.8,2.7,0.2,4.9,11.6,8.0,13.9,2.2
Pakistan,24.5,2.7,23.2,2.5,5.1,1.9,0.9,10.7,6.1,9.5,9.6,3.3
Venezuela,8.7,3.0,15.9,5.0,3.9,2.9,8.3,3.1,6.4,6.1,14.7,2.0
Russia,27.5,2.6,6.2,5.4,3.7,5.5,1.8,6.7,12.0,10.5,15.8,2.3
1
China,27.5,2.1,19.2,3.4,2.0,1.2,4.3,10.6,11.5,7.0,8.9,2.3
India,15.2,1.0,36.9,1.3,4.9,0.6,0.7,19.8,11.4,3.0,4.7,0.5
South Korea,17.0,3.7,10.8,12.2,5.4,4.6,5.2,5.0,8.0,10.1,14.7,3.3
Canada,15.3,9.1,7.7,7.8,16.1,4.8,0.2,2.4,8.0,12.0,14.1,2.5
Taiwan,23.4,4.9,14.7,11.5,3.7,2.1,4.8,6.0,10.0,7.0,10.3,1.6
Saudi Arabia,18.4,2.0,21.8,1.1,5.3,1.3,29.1,8.1,3.4,2.3,5.5,1.7
Japan,19.8,3.4,4.4,8.6,3.9,5.4,10.8,2.9,5.7,13.7,16.7,4.7
Vietnam,41.3,1.7,10.7,2.6,5.2,2.4,4.2,8.5,7.1,4.6,8.8,2.9
Mexico,21.7,3.7,14.7,7.5,2.9,4.9,3.4,4.8,8.2,10.0,15.5,2.7
Turkey,17.3,3.7,22.9,4.0,1.2,3.1,5.1,9.6,8.1,12.5,9.9,2.6
Nepal,23.5,1.1,16.9,1.2,8.1,1.2,0.2,12.1,18.5,5.6,10.5,1.1
Germany,26.7,2.1,7.6,4.4,3.0,7.3,0.9,3.6,7.6,12.3,18.8,5.7
United Kingdom,19.9,4.3,4.7,6.4,4.5,6.2,0.4,3.1,8.0,17.8,18.2,6.5
Brazil,26.1,2.9,7.9,7.9,5.5,4.7,3.9,3.0,6.2,10.1,18.8,3.0
Thailand,24.2,2.7,17.6,6.6,4.5,1.7,4.9,8.0,7.4,6.2,14.1,2.1
Hong Kong,31.2,1.4,6.7,8.4,2.5,3.5,1.6,5.6,7.5,13.6,15.5,2.5
France,30.7,1.1,9.4,4.9,1.9,7.8,1.7,2.9,6.4,8.6,19.1,5.5
Nigeria,18.6,1.5,24.7,1.9,13.9,3.2,0.2,6.9,11.9,6.8,9.0,1.4
Indonesia,30.2,2.8,18.0,8.1,4.0,2.8,0.8,5.5,6.1,7.4,12.8,1.5
Malaysia,19.8,2.1,29.1,3.4,3.9,2.1,0.2,7.6,11.2,7.7,9.1,3.8
